iteration,horizon,stock_weight,bond_weight,t_bill_weight,is_horizon_one_anchor
5,1,0.0,0.24,0.76,True
5,2,0.298134582073811,0.09797226247999954,0.6038931554461895,False
5,4,0.4850252728955363,0.253885146240837,0.26108958086362677,False
5,5,0.5237769681245362,0.29749657900695836,0.1787264528685055,False
5,7,0.4931121926883911,0.3662810591462453,0.14060674816536353,False
5,8,0.5166410600489602,0.34691069022694687,0.136448249724093,False
5,10,0.5609035036781278,0.3759915398052335,0.06310495651663875,False
5,11,0.5732295491524132,0.3768419597279817,0.04992849111960525,False
5,13,0.593764201616198,0.37797582817208153,0.02825997021172046,False
5,14,0.6078302548228528,0.3623104417111613,0.029859303465985948,False
5,16,0.6344973427483682,0.36550265725163184,0.0,False
5,17,0.6437937713319191,0.3522232977955944,0.003982930872486563,False
5,19,0.6575909721666805,0.34141323569644844,0.000995792136870935,False
5,20,0.6639569716603205,0.33604302833967953,0.0,False
5,22,0.6600073605943569,0.339992639405643,0.0,False
5,23,0.6852262314099047,0.3147737685900953,0.0,False
5,25,0.6747259377148126,0.32527406228518746,0.0,False
5,26,0.6823030170290514,0.3176969829709486,0.0,False
5,28,0.6763546375222238,0.3236453624777761,0.0,False
5,29,0.6842846549224507,0.31571534507754917,0.0,False
5,31,0.6983130943578194,0.30168690564218054,0.0,False
5,32,0.7075098501088234,0.29249014989117655,0.0,False
5,34,0.6906209927536829,0.3093790072463171,0.0,False
5,35,0.727425473388893,0.27257452661110715,0.0,False
5,37,0.7116637407743469,0.28833625922565315,0.0,False
5,38,0.6897242636881735,0.3102757363118264,0.0,False
5,40,0.6972867303041211,0.30271326969587875,0.0,False
5,41,0.6988441913659903,0.30115580863400976,0.0,False
5,43,0.7005294149419026,0.29947058505809737,0.0,False
5,44,0.6855346025259418,0.31446539747405816,0.0,False
5,46,0.6516822792215229,0.34831772077847706,0.0,False
5,48,0.6985963910688882,0.3014036089311119,0.0,False
5,50,0.6537081082199978,0.3462918917800022,0.0,False
